genus,species,ovule_number,confidence,life_history,mating_system
Nicotiana,Nicotiana longiflora,2367.92,1,perennial,mixed-mating
Nicotiana,Nicotiana plumbaginifolia,1538.48,1,annual,selfing
Petunia,Petunia axillaris,207.2,1,annual,outcrossing
Schizanthus,Schizanthus grahamii,46.33,1,annual,selfing
Schizanthus,Schizanthus hookeri,29.36,1,annual,mixed-mating
Solanum,Solanum chacoense,106.2,1,perennial,outcrossing
Jaltomata,Jaltomata grandibaccata,62,3,woody,mixed-mating
Nicotiana,Nicotiana alata,1732,3,perennial,outcrossing
Nicotiana,Nicotiana bonariensis,76,3,annual,outcrossing
Nicotiana,Nicotiana forgetiana,582,3,perennial,outcrossing
Nicotiana,Nicotiana langsdorffii,312,3,annual,outcrossing
Nicotiana,Nicotiana mutabilis,372,3,perennial,outcrossing
Solanum,Solanum berthaultii,123,3,perennial,outcrossing
Solanum,Solanum betaceum,342,3,woody,mixed-mating
Solanum,Solanum candolleanum,88,3,perennial,outcrossing
Solanum,Solanum commersonii,106,3,perennial,outcrossing
Solanum,Solanum corymbiflorum,157,3,woody,outcrossing
Solanum,Solanum diploconos,120,3,woody,outcrossing
Solanum,Solanum diversifolium,130,3,woody,outcrossing
Solanum,Solanum microdontum,96,3,perennial,outcrossing
Solanum,Solanum obliquum,400,3,woody,outcrossing
Solanum,Solanum roseum,400,3,woody,mixed-mating
Solanum,Solanum splendens,77,3,woody,outcrossing
Solanum,Solanum tuberosum,266,3,perennial,outcrossing
Solanum,Solanum unilobum,116,3,woody,outcrossing
Petunia,Petunia integrifolia,NA,4,annual,outcrossing
Solanum,Solanum kurtzianum,NA,4,perennial,outcrossing
Stylidium,Stylidium graminifolium,117.6,1,perennial,outcrossing
Stylidium,Stylidium productum,NA,4,perennial,outcrossing
Verbena,Verbena bracteata,4,1,perennial,mixed-mating
Verbena,Verbena halei,4,1,annual,mixed-mating
Verbena,Verbena simplex,4,1,perennial,mixed-mating
Verbena,Verbena stricta,4,1,perennial,mixed-mating
Verbena,Verbena urticifolia,4,1,perennial,mixed-mating
Roscoea,Roscoea tumjensis,45.95,1,perennial,mixed-mating
Roscoea,Roscoea purpurea,31.5,3,perennial,mixed-mating
