O,psi,alpha,mean_K,Omega,mean_Sz_perflower,Sz_at_meanK,frac_competitive,Ostar
10.0,0.01,0.5,1.60025,0.2932735565038262,0.48148748000578007,0.6068569537862788,0.6415,25.0
15.0,0.01,0.5,1.258,0.20528058417436323,0.33744940749847974,0.35752061431723187,0.5495,25.0
22.0,0.01,0.5,1.0673863636363634,0.14724400324160444,0.24288766227244776,0.13230475260836283,0.437,25.0
33.0,0.01,0.5,0.9022878787878787,0.10142334621374456,0.16866221278864252,0.0,0.349,25.0
49.0,0.01,0.5,0.7113877551020409,0.04875957933907567,0.08229115850937518,0.0,0.2025,25.0
73.0,0.01,0.5,0.5768082191780822,0.02394521865559498,0.04100348565316708,0.0,0.1175,25.0
110.0,0.01,0.5,0.4826545454545455,0.00811126122923478,0.014454435924499728,0.0,0.0575,25.0
164.0,0.01,0.5,0.391609756097561,0.0018904576694376576,0.003529451673707703,0.0,0.0185,25.0
244.0,0.01,0.5,0.3167786885245902,0.0004957550173484372,0.0009268561638521421,0.0,0.0055,25.0
365.0,0.01,0.5,0.25862602739726026,0.0001706078962750412,0.0003156716960746906,0.0,0.0015,25.0
