family,genus,PI_name,pair_key,measure,maternal_species,paternal_species,intra_maternal,inter_cross,success_ratio_inter_over_intra,directional_RI,maternal_ovules,paternal_ovules,signed_log10_ovule_ratio_maternal_minus_paternal,maternal_confidence,paternal_confidence,maternal_life_history,paternal_life_history,maternal_mating_system,paternal_mating_system,K2P_Distance,is_PI_from_PI_name,direction_complete_no_K2P,direction_complete_with_K2P
Orchidaceae,Dendrobium,Dendrobium,dendrobium aphyllum || dendrobium secundum,seed set,Dendrobium aphyllum,Dendrobium secundum,0.211111111,,,,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,0.270208,True,False,False
Orchidaceae,Dendrobium,,dendrobium chrysotoxum || dendrobium secundum,seed set,Dendrobium secundum,Dendrobium chrysotoxum,0.403529412,0.0,0.0,1.0,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,,dendrobium chrysotoxum || dendrobium secundum,seed set,Dendrobium chrysotoxum,Dendrobium secundum,0.88,,,,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Caryophyllaceae,Dianthus,Dianthus,dianthus carthusianorum || dianthus sylvestris,seed set,Dianthus carthusianorum,Dianthus sylvestris,34.8384,30.465,0.8744661063653899,0.1255338936346101,75.0,81.0,-0.03342375548694965,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,0.004082,True,True,True
Caryophyllaceae,Dianthus,Dianthus,dianthus carthusianorum || dianthus sylvestris,seed set,Dianthus sylvestris,Dianthus carthusianorum,27.5035,38.4588,1.3983238496918573,-0.3983238496918573,81.0,75.0,0.03342375548694965,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,0.004082,True,True,True
Phrymaceae,Diplacus,,diplacus brevipes || diplacus fremontii,seed set,Diplacus brevipes,Diplacus fremontii,0.86877,0.5617,0.6465462665607697,0.35345373343923026,433.0,203.0,0.32899185844015255,3.0,3.0,annual,annual,outcrossing,outcrossing,,False,True,False
Phrymaceae,Diplacus,,diplacus brevipes || diplacus fremontii,seed set,Diplacus fremontii,Diplacus brevipes,0.340054,0.022368,0.06577778823363348,0.9342222117663666,203.0,433.0,-0.32899185844015255,3.0,3.0,annual,annual,outcrossing,outcrossing,,False,True,False
Phrymaceae,Diplacus,Diplacus,diplacus brevipes || diplacus johnstonii,seed set,Diplacus johnstonii,Diplacus brevipes,0.39146,0.0,0.0,1.0,42.0,433.0,-1.013238605955465,3.0,3.0,annual,annual,outcrossing,outcrossing,0.019733,True,True,True
Phrymaceae,Diplacus,Diplacus,diplacus brevipes || diplacus johnstonii,seed set,Diplacus brevipes,Diplacus johnstonii,0.86877,0.0,0.0,1.0,433.0,42.0,1.013238605955465,3.0,3.0,annual,annual,outcrossing,outcrossing,0.019733,True,True,True
Phrymaceae,Diplacus,,diplacus fremontii || diplacus johnstonii,seed set,Diplacus johnstonii,Diplacus fremontii,0.39146,0.0,0.0,1.0,42.0,203.0,-0.6842467475153124,3.0,3.0,annual,annual,outcrossing,outcrossing,,False,True,False
