i,j,O_i,O_j,K_i,K_j,F_i,F_j,G,D,dlogO,GxdlogO,A_sobelchen,A_oneminus_hc
66,82,3.5376180102113692,11615.929680492683,5.316729091804491,0.09278398322068948,1.4533076256054878,0.08867038735445555,0.04028494616917408,0.2014247308458704,8.096679061179664,0.3261742801287017,0.1363997602006917,0.236076114060642
63,72,6.454188718604265,4.705824020386721,3.9362182451298415,4.6098007995147,1.3261703268269056,1.3948380410656724,0.17092076933958836,0.8546038466979418,-0.3159284388939083,-0.05399873183200194,-0.02129598004106159,-0.01834970060908092
80,95,21.557252224008096,1175.2937384847537,2.153789713594461,0.2916935250128836,1.0370239526308085,0.25456591104278986,0.1555678809808499,0.7778394049042494,3.998561095483123,0.6220476765967753,0.28410180761056775,0.3740043496911656
91,30,4807.617667226662,147.68038729061078,0.14422317057090417,0.8228839443404541,0.13452253715969725,0.5830094049670291,0.16902387794692775,0.8451193897346387,-3.4829065596757625,-0.5886943732431901,-0.1847078074018854,-0.2815698720827655
62,118,146.63673580212495,555.8391659568556,0.8258070910538823,0.4241558170244208,0.584475206158463,0.3499410508562601,0.11292817440078243,0.5646408720039121,1.3325206392003865,0.15047912313626333,0.06505247304210202,0.10179506781898062
49,106,19354.123047075387,54.78709854983507,0.0718808577848553,1.3510171103330069,0.06938705718986804,0.8063325646217007,0.18934548303914783,0.9467274151957392,-5.867206014814658,-1.110928956965275,-0.3313394895290945,-0.4703308068432367
30,95,147.68038729061078,1175.2937384847537,0.8228839443404541,0.2916935250128836,0.5830094049670291,0.25456591104278986,0.19987965263136873,0.9993982631568437,2.0742229922858844,0.4145949711781008,0.1568331862080741,0.21695991217722665
36,50,987.3688568312764,138.0047120429081,0.3182440462872048,0.8512419979522985,0.27455612086819775,0.5971025949839701,0.10111245034300542,0.5055622517150271,-1.9677558549345822,-0.1989646161692311,-0.08050902937613384,-0.13096524356109973
117,56,4.127708599862939,34.345430824784316,4.922043922847324,1.706339780516216,1.4221359984733188,0.9207681332867751,0.17747613461988188,0.8873806730994094,2.1187465570502058,0.37602694918445356,0.17150331311587802,0.15862911658500123
22,92,328.0586150524378,1854.6347018910524,0.5521083004789411,0.23220459481674394,0.4326683944998179,0.20804956262157245,0.21135568931455617,1.056778446572781,1.7322507325981666,0.36612104765393044,0.11522545654326079,0.1695975255803489
11,67,222.12123672915587,494.99227922333824,0.6709728672574028,0.4494700803003817,0.5024183326477355,0.36699372971746,0.2085770543652019,1.0428852718260095,0.801318820718123,0.16713671923278342,0.0670848563383647,0.08982727616632535
74,51,29.711888985284112,1161.9559413577483,1.834572453281875,0.29336288608233263,0.9568589331056866,0.2558364294309076,0.08501643229707824,0.4250821614853912,3.6663127522338677,0.3116968298802052,0.14629140488059422,0.23113843947541324
38,92,8067.784894509908,1854.6347018910524,0.11133272646697859,0.23220459481674394,0.105462038333748,0.20804956262157245,0.07727106254593873,0.38635531272969365,-1.4701912077109602,-0.11360323676552281,-0.019798810017012152,-0.037308475097307836
11,55,222.12123672915587,449.322077600395,0.6709728672574028,0.4717600065877112,0.5024183326477355,0.3817199123947154,0.15483068332007305,0.7741534166003652,0.704516608439322,0.10908078789500056,0.045370313245120863,0.06638321679441084
