family,genus,species1,species2,duplicate,remove,PI_name,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,sp1_hybrid_proportion,sp2_hybrid_proportion,RI,measure,remove_flag,is_PI_from_PI_name,sp1_key,sp2_key,pair_key,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,life_history_sp1,life_history_sp2,mating_system_sp1,mating_system_sp2,gd_rows,gd_nonmissing,K2P_Distance,K2P_min,K2P_max,has_both_ovule_numbers,has_nonmissing_K2P,model_ready_PI_K2P_ovules,mean_log10_ovules,abs_log10_ovule_difference,signed_log10_ovule_ratio_sp1_minus_sp2,best_confidence_pair
Onagraceae,Oenothera,Oenothera hexandra,Oenothera suffulta,no,no,Oenothera,47.0,98.0,52.0,52.0,,,0.1647,fruit set,False,True,oenothera hexandra,oenothera suffulta,oenothera hexandra || oenothera suffulta,4.0,4.0,2.0,2.0,annual,annual,selfing,selfing,1.0,1.0,0.007794,0.007794,0.007794,True,True,True,0.6020599913279624,0.0,0.0,2.0
Betulaceae,Ostryopsis,Ostryopsis davidiana,Ostryopsis nobilis,no,no,Ostryopsis,86.11,92.91,8.19,13.69,,,0.7822,fruit set,False,True,ostryopsis davidiana,ostryopsis nobilis,ostryopsis davidiana || ostryopsis nobilis,2.0,2.0,2.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.015456,0.015456,0.015456,True,True,True,0.3010299956639812,0.0,0.0,2.0
Oxalidaceae,Oxalis,Oxalis campicola,Oxalis xantha,no,no,Oxalis01,10.0,16.36,10.0,13.83,,,0.0504,seed set,False,True,oxalis campicola,oxalis xantha,oxalis campicola || oxalis xantha,30.0,30.0,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.003846,0.003846,0.003846,True,True,True,1.4771212547196624,0.0,0.0,1.0
Oxalidaceae,Oxalis,Oxalis metcalfei,Oxalis gracilis,no,no,Oxalis02,4.0,5.6,3.0,,,,0.2308,seed set,False,True,oxalis metcalfei,oxalis gracilis,oxalis gracilis || oxalis metcalfei,10.0,15.0,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.031301,0.031301,0.031301,True,True,True,1.0880456295278407,0.17609125905568135,-0.17609125905568135,1.0
Geraniaceae,Pelargonium,Pelargonium pinnatum,Pelargonium carneum,no,no,Pelargonium,0.59,0.78,0.0,0.0,,,1.0,seed set,False,True,pelargonium pinnatum,pelargonium carneum,pelargonium carneum || pelargonium pinnatum,10.0,10.0,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.00811,0.00811,0.00811,True,True,True,1.0,0.0,0.0,1.0
Plantaginaceae,Penstemon,Penstemon davidsonii,Penstemon newberryi,no,no,Penstemon,49.15,36.28,65.62,31.81,,,-0.0656,seed set,False,True,penstemon davidsonii,penstemon newberryi,penstemon davidsonii || penstemon newberryi,80.0,55.0,3.0,3.0,woody,woody,mixed-mating,mixed-mating,1.0,1.0,0.007674,0.007674,0.007674,True,True,True,1.8217263382430937,0.16272729749769965,0.16272729749769965,3.0
Polemoniaceae,Phlox,Phlox amoena,Phlox divaricata,no,no,Phlox01,69.0,65.1666667,26.0,30.5,,,0.4073,seed set,False,True,phlox amoena,phlox divaricata,phlox amoena || phlox divaricata,3.0,3.0,2.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.003922,0.003922,0.003922,True,True,True,0.47712125471966244,0.0,0.0,2.0
Polemoniaceae,Phlox,Phlox cuspidata,Phlox roemeriana,no,no,Phlox02,1.5,1.65,0.97,0.6,,,0.3347,seed set,False,True,phlox cuspidata,phlox roemeriana,phlox cuspidata || phlox roemeriana,3.0,4.0,1.0,1.0,annual,annual,mixed-mating,outcrossing,1.0,1.0,0.011719,0.011719,0.011719,True,True,True,0.5395906230238124,0.12493873660829996,-0.12493873660829996,1.0
Orchidaceae,Platanthera,Platanthera bifolia,Platanthera chlorantha,no,no,Platanthera,3008.0,4071.0,4188.0,5090.0,,,-0.1344,seed set,False,True,platanthera bifolia,platanthera chlorantha,platanthera bifolia || platanthera chlorantha,4004.0,5831.0,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.0,0.0,0.0,True,True,True,3.684118555114163,0.1632489726137636,-0.1632489726137636,1.0
Potamogetonaceae,Potamogeton,Potamogeton perfoliatus,Potamogeton wrightii,no,no,Potamogeton,32.57,48.93,41.0,41.37,,,-0.0053,seed set,False,True,potamogeton perfoliatus,potamogeton wrightii,potamogeton perfoliatus || potamogeton wrightii,1.0,1.0,1.0,1.0,woody,annual,selfing,selfing,1.0,1.0,0.02786,0.02786,0.02786,True,True,True,0.0,0.0,0.0,1.0
Primulaceae,Primula,Primula elatior,Primula vulgaris,no,no,Primula01,4.2,23.5,1.75,2.925,,,0.7112,seed set,False,True,primula elatior,primula vulgaris,primula elatior || primula vulgaris,63.67070707,55.37692308,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.03527,0.03527,0.03527,True,True,True,1.7736342470292734,0.060610851495876084,0.060610851495876084,1.0
Fagaceae,Quercus,Quercus robur,Quercus petraea,no,no,Quercus01,52.4,8.1,31.6,0.0,,,0.3138,fruit set,False,True,quercus robur,quercus petraea,quercus petraea || quercus robur,6.0,6.0,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.011628,0.011628,0.011628,True,True,True,0.7781512503836436,0.0,0.0,1.0
Orobanchaceae,Rhinanthus,Rhinanthus minor,Rhinanthus major,yes2,no,Rhinanthus,,,,,0.299,0.269,0.432,pollen competition,False,True,rhinanthus minor,rhinanthus major,rhinanthus major || rhinanthus minor,20.0,18.0,3.0,3.0,annual,annual,selfing,outcrossing,2.0,2.0,0.025335,0.025335,0.025335,True,True,True,1.2781512503836436,0.04575749056067524,0.04575749056067524,3.0
