data_structure,asym_model_beta_intercept,asym_model_beta_delta_logK,asym_model_beta_divergence_time,asym_model_r2,asym_model_n,ovule_proxy_beta_intercept,ovule_proxy_beta_delta_logO_proxy,ovule_proxy_beta_divergence_time,ovule_proxy_r2,ovule_proxy_n,post_model_beta_intercept,post_model_beta_divergence_time,post_model_beta_abs_delta_logK,post_model_r2,post_model_n,replicate,alpha,psi,architecture,n_tips,mean_K,median_K,prop_K_gt_1,mean_omega,mean_filter_F,mean_sweeps,n_pairs_used,beta_intercept,beta_maternal_logK,beta_divergence_time,r2,n
dense_reciprocal,0.0018035944637373703,0.060685489675797295,-0.006993575824024977,0.21593758784741657,3160.0,0.0020529472486263954,0.025908479906255208,-0.004702001554028136,0.16803646912296222,3160.0,-0.037343125998985434,0.52657886254953,0.007846401718904389,0.5965630957849738,3160.0,4,0.6,0.005,independent,80,0.28785710304929163,0.2469946766576747,0.0,0.002861682786694752,0.4251687870113215,0.05,3160,,,,,
sparse_reciprocal,0.0026273690608979937,0.06219295949000113,-0.013036786010947578,0.2288584639203437,824.0,3.964454688680485e-05,0.024774175153332377,-0.00851499753122816,0.1602868517760767,824.0,-0.039650502901013136,0.5307886598351832,0.012597927069793294,0.6012745388212983,824.0,4,0.6,0.005,independent,80,0.28785710304929163,0.2469946766576747,0.0,0.002861682786694752,0.4251687870113215,0.05,824,,,,,
pi_pairs,-0.054737079599105225,0.09124388359451606,0.08409355744242362,0.35299093406603954,40.0,-0.02714143304126208,0.04324427102887359,0.05078429290229391,0.35904863211645466,40.0,-0.011211801677726865,0.5951441794253671,-0.0957741686574927,0.7226887891744127,40.0,4,0.6,0.005,independent,80,0.28785710304929163,0.2469946766576747,0.0,0.002861682786694752,0.4251687870113215,0.05,40,,,,,
one_direction,,,,,,,,,,,,,,,,4,0.6,0.005,independent,80,0.28785710304929163,0.2469946766576747,0.0,0.002861682786694752,0.4251687870113215,0.05,3160,0.08243986823576113,0.05073922630576346,0.11626595265952805,0.3928137780604297,3160.0
summary_only,0.0018035944637373703,0.060685489675797295,-0.006993575824024977,0.21593758784741657,3160.0,0.0020529472486263954,0.025908479906255208,-0.004702001554028136,0.16803646912296222,3160.0,-0.037343125998985434,0.52657886254953,0.007846401718904389,0.5965630957849738,3160.0,4,0.6,0.005,independent,80,0.28785710304929163,0.2469946766576747,0.0,0.002861682786694752,0.4251687870113215,0.05,3160,,,,,
dense_reciprocal,0.001992499772199171,0.059602653321240526,-0.004198911710020981,0.21733035922127897,3160.0,0.0031442520647264466,0.03022966981694392,-0.0029121657190572287,0.16140703099511178,3160.0,-0.04006828057224563,0.5240352017425708,0.0017902605592568272,0.538664170124559,3160.0,5,0.6,0.005,independent,80,0.3105306440482072,0.22958592811821066,0.0,0.005944194669696005,0.4392731324274397,0.0375,3160,,,,,
sparse_reciprocal,0.00014583709916339265,0.05743340881653027,-0.002729269959922281,0.22048999828001015,749.0,0.005237332471389685,0.030360325892716946,-0.004737970992245976,0.17151650374749217,749.0,-0.0496520307738125,0.5218458822921188,0.006132195428824138,0.5645025376118995,749.0,5,0.6,0.005,independent,80,0.3105306440482072,0.22958592811821066,0.0,0.005944194669696005,0.4392731324274397,0.0375,749,,,,,
pi_pairs,-0.014121662930857244,0.05197096125864719,0.007193501957036042,0.2029229009405109,40.0,-0.011858173448248719,0.018978058696073042,0.007081182610220278,0.07868326978754081,40.0,-0.07748932111177287,0.4984400237488987,0.04652181704738794,0.6048478643826078,40.0,5,0.6,0.005,independent,80,0.3105306440482072,0.22958592811821066,0.0,0.005944194669696005,0.4392731324274397,0.0375,40,,,,,
one_direction,,,,,,,,,,,,,,,,5,0.6,0.005,independent,80,0.3105306440482072,0.22958592811821066,0.0,0.005944194669696005,0.4392731324274397,0.0375,3160,0.09162226615712869,0.05883480169493996,0.12225764799313171,0.4049469924458692,3160.0
summary_only,0.001992499772199171,0.059602653321240526,-0.004198911710020981,0.21733035922127897,3160.0,0.0031442520647264466,0.03022966981694392,-0.0029121657190572287,0.16140703099511178,3160.0,-0.04006828057224563,0.5240352017425708,0.0017902605592568272,0.538664170124559,3160.0,5,0.6,0.005,independent,80,0.3105306440482072,0.22958592811821066,0.0,0.005944194669696005,0.4392731324274397,0.0375,3160,,,,,
dense_reciprocal,-0.0032249999413365197,0.03243049299648176,0.005430955868231036,0.08176441260991452,3160.0,-0.005531013015405346,0.011890808313197216,0.010649847243547741,0.0394178292946612,3160.0,-0.025133794173074132,0.4834720609141511,-0.009338264369051887,0.3070955292053893,3160.0,6,0.6,0.005,independent,80,0.25171033642113805,0.22248206753412086,0.0,0.0017860218011995685,0.4063843681158624,0.05,3160,,,,,
sparse_reciprocal,-0.005096050227390145,0.03510679460924451,0.01736462569178214,0.10496369974760922,760.0,-0.008351816085256637,0.011295826438545594,0.02460703774311935,0.0430890404946489,760.0,-0.01797262429008695,0.4676280532936907,-0.012360944167038373,0.27352774573224936,760.0,6,0.6,0.005,independent,80,0.25171033642113805,0.22248206753412086,0.0,0.0017860218011995685,0.4063843681158624,0.05,760,,,,,
pi_pairs,-0.025098521601048855,-0.008166043244688545,0.09540324646728131,0.09742881712707263,40.0,-0.025587051583515045,-0.00695838461968111,0.09411870462017913,0.10644196077708035,40.0,-0.031059234872457514,0.4027407235861081,0.023839328238668137,0.26837549929917903,40.0,6,0.6,0.005,independent,80,0.25171033642113805,0.22248206753412086,0.0,0.0017860218011995685,0.4063843681158624,0.05,40,,,,,
one_direction,,,,,,,,,,,,,,,,6,0.6,0.005,independent,80,0.25171033642113805,0.22248206753412086,0.0,0.0017860218011995685,0.4063843681158624,0.05,3160,0.054464633725508714,0.030179535926774612,0.12466679334760543,0.2603669986979935,3160.0
summary_only,-0.0032249999413365197,0.03243049299648176,0.005430955868231036,0.08176441260991452,3160.0,-0.005531013015405346,0.011890808313197216,0.010649847243547741,0.0394178292946612,3160.0,-0.025133794173074132,0.4834720609141511,-0.009338264369051887,0.3070955292053893,3160.0,6,0.6,0.005,independent,80,0.25171033642113805,0.22248206753412086,0.0,0.0017860218011995685,0.4063843681158624,0.05,3160,,,,,
dense_reciprocal,-0.007117091026040101,0.051543959152289,0.013681771090427437,0.14276705642449672,3160.0,-0.0035405296803048577,0.021806957369925092,0.01191107834587402,0.10890169074865808,3160.0,-0.03543696583475958,0.5111286015239709,-0.004124549966949843,0.4918368836201983,3160.0,7,0.6,0.005,independent,80,0.24992960696066352,0.19554731853702045,0.0,0.0026678086444480893,0.3918986314228724,0.1125,3160,,,,,
