replicate,species_i,species_j,tip_i,tip_j,state_i,state_j,divergence_time,ovules_i,ovules_j,logO_i,logO_j,K_i,K_j,logK_i,logK_j,delta_logK_i_minus_j,delta_logO_j_minus_i,filter_i,filter_j,mismatch_D,Rpre_i_from_j,Rpre_j_from_i,asym_i_minus_j,Rpost,BDM_count,N_seed_i_from_j,N_seed_j_from_i,seeds_i_from_j,seeds_j_from_i,observed_Rpre_i_from_j,observed_Rpre_j_from_i,observed_asym_i_minus_j,N_post,post_success,observed_Rpost
0,sp_000,sp_032,0,32,many,many,1.0,131.55271398933323,124.39647805759668,4.87940763813121,4.8234738684701925,0.4239715834455515,0.6608549922878237,-0.8580888461717177,-0.41422083946347366,-0.443868006708244,-0.05593376966101715,0.5696963849597553,0.7179177654229182,0.3707874757385389,0.1904172475894571,0.2337102492117653,-0.0432930016223082,0.3934693402873666,2,1316,1244,808,801,0.38601823708206684,0.3561093247588425,0.029908912323224346,50,31,0.38
0,sp_000,sp_033,0,33,many,many,1.0,131.55271398933323,141.88075747028205,4.87940763813121,4.9549869687006005,0.4239715834455515,0.961133714306481,-0.8580888461717177,-0.03964173889344064,-0.8184471072782771,0.07557933056939081,0.5696963849597553,1.0224756538857886,0.3772877863295814,0.19340975287924878,0.32007146099339334,-0.12666170811414457,0.3934693402873666,2,1316,1419,1061,827,0.19376899696048633,0.41719520789288234,-0.223426210932396,50,29,0.42000000000000004
0,sp_000,sp_034,0,34,many,few,0.268464193545815,131.55271398933323,38.28198843841089,4.87940763813121,3.6449795098127677,0.4239715834455515,1.0341647207881761,-0.8580888461717177,0.033594067835940614,-0.8916829140076583,-1.234428128318442,0.5696963849597553,0.9364656694299672,0.15596775128331952,0.08502109084528431,0.1358928007037823,-0.05087170985849798,0.22119921692859512,1,1316,383,1038,353,0.21124620060790278,0.07832898172323755,0.13291721888466523,50,42,0.16000000000000003
0,sp_000,sp_035,0,35,many,many,1.0,131.55271398933323,147.80477900540203,4.87940763813121,4.995892342263363,0.4239715834455515,0.5280817772131886,-0.8580888461717177,-0.6385041261831281,-0.21958471998858953,0.11648470413215328,0.5696963849597553,0.6054883592701155,0.32212760157911696,0.16766055127887758,0.17720196793153942,-0.009541416652661838,0.5276334472589853,3,1316,1478,1017,1210,0.2272036474164134,0.18132611637347762,0.04587753104293579,50,30,0.4
0,sp_000,sp_036,0,36,many,few,1.0,131.55271398933323,27.44544144142332,4.87940763813121,3.3122000864570595,0.4239715834455515,1.6948453958088192,-0.8580888461717177,0.5275915247601531,-1.3856803709318708,-1.5672075516741502,0.5696963849597553,0.9040042258952542,0.4166077948025557,0.2112768876493083,0.3138199396424408,-0.10254305199313252,0.8262260565495548,7,1316,274,1158,156,0.1200607902735562,0.43065693430656937,-0.31059614403301317,50,9,0.8200000000000001
0,sp_000,sp_037,0,37,many,many,0.007298055227166911,131.55271398933323,324.54608692102505,4.87940763813121,5.7824275504695715,0.4239715834455515,0.6575821159601402,-0.8580888461717177,-0.41918563153434385,-0.4389032146373738,0.9030199123383618,0.5696963849597553,0.6292540418788708,0.06041434397165127,0.03383227681975298,0.03730243363841368,-0.003470156818660697,0.0,0,1316,3245,1316,2639,0.0,0.18674884437596306,-0.18674884437596306,50,50,0.0
0,sp_000,sp_038,0,38,many,many,1.0,131.55271398933323,176.87091200210557,4.87940763813121,5.1754201557748205,0.4239715834455515,0.6609126294759633,-0.8580888461717177,-0.41413362717709734,-0.4439552189946203,0.2960125176436108,0.5696963849597553,0.6050044848148026,0.37486927987600904,0.19229765527898923,0.20291790106761687,-0.010620245788627636,0.6321205588285577,4,1316,1769,923,1534,0.2986322188449848,0.13284341435839453,0.16578880448659028,50,17,0.6599999999999999
0,sp_000,sp_039,0,39,many,many,1.0,131.55271398933323,120.4613305674161,4.87940763813121,4.791328793274446,0.4239715834455515,1.4615319363823527,-0.8580888461717177,0.3794851571144419,-1.2375740032861595,-0.08807884485676354,0.5696963849597553,1.0513639726353874,0.6067412353311115,0.29224570633951774,0.4716022030035689,-0.17935649666405118,0.5276334472589853,3,1316,1205,1085,723,0.17553191489361697,0.4,-0.22446808510638305,50,31,0.38
0,sp_000,sp_040,0,40,many,few,0.268464193545815,131.55271398933323,39.41862571119076,4.87940763813121,3.6742384383870417,0.4239715834455515,2.7957451243787617,-0.8580888461717177,1.0280986629842883,-1.8861875091560059,-1.205169199744168,0.5696963849597553,1.1577660032637325,0.5439988979727107,0.26649011543266377,0.46731415089514783,-0.20082403546248406,0.0,0,1316,394,1097,225,0.1664133738601824,0.4289340101522843,-0.26252063629210187,50,50,0.0
0,sp_000,sp_041,0,41,many,many,1.0,131.55271398933323,304.90706941201216,4.87940763813121,5.720007039727426,0.4239715834455515,0.766252311261951,-0.8580888461717177,-0.26624377540745453,-0.5918450707642631,0.8405994015962159,0.5696963849597553,0.7787720755552026,0.34016728261167284,0.17617081571338822,0.23272713195186612,-0.0565563162384779,0.7768698398515702,6,1316,3049,1200,2404,0.08814589665653494,0.21154476877664807,-0.12339887212011313,50,10,0.8
0,sp_000,sp_042,0,42,many,few,0.268464193545815,131.55271398933323,16.81206626592917,4.87940763813121,2.82209685872023,0.4239715834455515,1.20277095785675,-0.8580888461717177,0.18462802639406486,-1.0427168725657825,-2.0573107794109795,0.5696963849597553,0.7869850126709166,0.16298174996088413,0.08866991410679026,0.12037904262641186,-0.0317091285196216,0.0,0,1316,168,1219,161,0.07370820668693012,0.04166666666666663,0.03204154002026349,50,50,0.0
0,sp_000,sp_043,0,43,many,few,0.268464193545815,131.55271398933323,36.112665581009935,4.87940763813121,3.5866436509257653,0.4239715834455515,1.6418542948165935,-0.8580888461717177,0.4958262706840329,-1.3539151168557506,-1.2927639872054444,0.5696963849597553,0.8674554114392331,0.24110613848601406,0.12834126924330325,0.18872551091100842,-0.060384241667705174,0.0,0,1316,361,1280,199,0.027355623100303927,0.44875346260387816,-0.42139783950357423,50,50,0.0
0,sp_000,sp_044,0,44,many,many,1.0,131.55271398933323,125.75534088614671,4.87940763813121,4.834338280333568,0.4239715834455515,1.4472493497213486,-0.8580888461717177,0.3696647546566815,-1.2277536008283991,-0.045069357797641985,0.5696963849597553,0.9129109792280135,0.5129499399103126,0.25340001040056737,0.37392032018877464,-0.12052030978820727,0.5276334472589853,3,1316,1258,1038,678,0.21124620060790278,0.4610492845786963,-0.24980308397079354,50,22,0.56
0,sp_000,sp_045,0,45,many,many,1.0,131.55271398933323,158.26920871601928,4.87940763813121,5.0642974357498245,0.4239715834455515,0.5780311639274593,-0.8580888461717177,-0.5481274949337052,-0.3099613512380125,0.1848897976186148,0.5696963849597553,0.5976205713199527,0.33887402167206293,0.1755636226608006,0.18332828821705038,-0.007764665556249772,0.7768698398515702,6,1316,1583,1002,1288,0.2386018237082067,0.18635502210991783,0.05224680159828887,50,10,0.8
0,sp_000,sp_046,0,46,many,many,0.038933399455623866,131.55271398933323,135.01076497517067,4.87940763813121,4.90535451581614,0.4239715834455515,0.4265138171975128,-0.8580888461717177,-0.8521105158635293,-0.005978330308188395,0.025946877684930314,0.5696963849597553,0.5707155306229849,0.02846711629595138,0.01608681578313076,0.016115360794249134,-2.854501111837493e-05,0.0,0,1316,1350,1316,1310,0.0,0.029629629629629672,-0.029629629629629672,50,50,0.0
0,sp_000,sp_047,0,47,many,many,1.0,131.55271398933323,264.5947504600781,4.87940763813121,5.578199411952976,0.4239715834455515,0.5921214368086442,-0.8580888461717177,-0.5240435353900293,-0.3340453107816883,0.6987917738217666,0.5696963849597553,0.6104911648754993,0.34410075537668083,0.17801485543943885,0.1894728746869072,-0.011458019247468365,0.3934693402873666,2,1316,2646,1127,2238,0.1436170212765957,0.1541950113378685,-0.010577990061272802,50,34,0.31999999999999995
0,sp_000,sp_048,0,48,many,many,1.0,131.55271398933323,162.99626010012867,4.87940763813121,5.093727256372551,0.4239715834455515,0.466022836934691,-0.8580888461717177,-0.7635206397596404,-0.0945682064120773,0.21431961824134138,0.5696963849597553,0.6834388347307314,0.3728134032937418,0.19135109952440832,0.22492475027196612,-0.033573650747557804,0.7134952031398099,5,1316,1630,1218,1212,0.07446808510638303,0.256441717791411,-0.18197363268502798,50,15,0.7
0,sp_000,sp_049,0,49,many,many,1.0,131.55271398933323,156.1078634370342,4.87940763813121,5.050547200609042,0.4239715834455515,0.6451155541106319,-0.8580888461717177,-0.4383258245725706,-0.4197630215991471,0.17113956247783246,0.5696963849597553,0.7302986838542087,0.3517220446957885,0.1815760311920498,0.22652516723452065,-0.04494913604247086,0.5276334472589853,3,1316,1561,693,1369,0.473404255319149,0.12299807815502883,0.35040617716412015,50,14,0.72
0,sp_000,sp_050,0,50,many,few,0.268464193545815,131.55271398933323,19.78024359229045,4.87940763813121,2.984683641199143,0.4239715834455515,2.755250337412098,-0.8580888461717177,1.013508305051025,-1.8715971512227427,-1.8947239969320666,0.5696963849597553,1.1765796727829108,0.3954964650434006,0.2017336029881971,0.3720740926666132,-0.17034048967841608,0.0,0,1316,198,1064,104,0.19148936170212771,0.4747474747474747,-0.283258113045347,50,50,0.0
0,sp_000,sp_051,0,51,many,many,1.0,131.55271398933323,144.95579092899453,4.87940763813121,4.976428805787259,0.4239715834455515,0.6221446884158197,-0.8580888461717177,-0.4745825952624725,-0.38350625090924517,0.09702116765604973,0.5696963849597553,0.7390030730819642,0.3837317863424211,0.19636541667707663,0.24691635073164908,-0.05055093405457245,0.22119921692859512,1,1316,1450,1014,1030,0.22948328267477203,0.2896551724137931,-0.0601718897390211,50,38,0.24
0,sp_000,sp_052,0,52,many,few,0.268464193545815,131.55271398933323,23.08419830876679,4.87940763813121,3.1391483275572187,0.4239715834455515,1.396609947987264,-0.8580888461717177,0.33404783440834174,-1.1921366805800595,-1.740259310573991,0.5696963849597553,1.0341617085195705,0.2541041021049045,0.1347719700676696,0.23109259963300455,-0.09632062956533494,0.0,0,1316,231,966,164,0.26595744680851063,0.29004329004329,-0.02408584323477936,50,50,0.0
0,sp_000,sp_053,0,53,many,few,0.268464193545815,131.55271398933323,22.411365722978424,4.87940763813121,3.109568228525231,0.4239715834455515,2.184428813327228,-0.8580888461717177,0.7813543817084226,-1.6394432278801403,-1.7698394096059786,0.5696963849597553,1.0903598871026714,0.2823226640056658,0.14857017960839192,0.2649621673139472,-0.11639198770555526,0.22119921692859512,1,1316,224,1199,164,0.08890577507598785,0.2678571428571429,-0.17895136778115506,50,35,0.30000000000000004
0,sp_000,sp_054,0,54,many,many,1.0,131.55271398933323,169.39823908390625,4.87940763813121,5.1322523871456625,0.4239715834455515,1.3685504839226172,-0.8580888461717177,0.3137521387872083,-1.171840984958926,0.25284474901445275,0.5696963849597553,1.1267091316343254,0.5986845738047099,0.288989753171073,0.49061103340177725,-0.20162128023070425,0.22119921692859512,1,1316,1694,880,932,0.331306990881459,0.4498229043683589,-0.11851591348689994,50,43,0.14
0,sp_000,sp_055,0,55,many,many,1.0,131.55271398933323,163.17373693826144,4.87940763813121,5.094815503956691,0.4239715834455515,0.5194546671084591,-0.8580888461717177,-0.654975734794323,-0.20311311137739463,0.21540786582548144,0.5696963849597553,0.6890414697231814,0.38142087561370874,0.1953067209512741,0.23111571905558936,-0.03580899810431526,0.6321205588285577,4,1316,1632,1047,1171,0.2044072948328267,0.2824754901960784,-0.07806819536325171,50,15,0.7
0,sp_000,sp_056,0,56,many,many,1.0,131.55271398933323,176.87353473542282,4.87940763813121,5.175434984181833,0.4239715834455515,0.5720220537126925,-0.8580888461717177,-0.5585777329038109,-0.2995111132679068,0.2960273460506233,0.5696963849597553,0.6934836737755505,0.3344943522794299,0.17350401807121596,0.20702721127151913,-0.03352319320030317,0.7134952031398099,5,1316,1769,1112,1436,0.1550151975683891,0.1882419446014697,-0.033226747033080595,50,11,0.78
0,sp_000,sp_057,0,57,many,few,0.268464193545815,131.55271398933323,43.300109945538146,4.87940763813121,3.7681551741631454,0.4239715834455515,1.1265447416275238,-0.8580888461717177,0.11915519748051917,-0.9772440436522368,-1.1112524639680643,0.5696963849597553,0.9480275353204781,0.14876930447947084,0.0812611227793999,0.1315431666393373,-0.0502820438599374,0.0,0,1316,433,1230,350,0.06534954407294835,0.19168591224018472,-0.12633636816723637,50,50,0.0
0,sp_000,sp_058,0,58,many,few,0.268464193545815,131.55271398933323,19.37622631547019,4.87940763813121,2.964046866938136,0.4239715834455515,3.0804352831930824,-0.8580888461717177,1.1250709127119851,-1.9831597588837027,-1.9153607711930736,0.5696963849597553,1.2169456272055896,0.5519891237158647,0.26982146651109207,0.48918140426708634,-0.21935993775599427,0.22119921692859512,1,1316,194,925,98,0.297112462006079,0.4948453608247423,-0.1977328988186633,50,37,0.26
