family,genus,species1,species2,pair_key,PI_name,is_PI_from_PI_name,measure,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,has_directional_RI_inputs,directional_RI_sp1_mother,directional_RI_sp2_mother,directional_RI_asymmetry_sp1_minus_sp2,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,has_both_ovules,both_confidence_le_2,signed_log10_ovule_ratio_sp1_minus_sp2,abs_log10_ovule_difference,nonzero_ovule_difference,has_K2P,K2P_Distance,asymmetry_model_ready,asymmetry_model_ready_confidence_le_2,strict_PI_K2P_asymmetry_ready
Myrtaceae,Corymbia,Corymbia torelliana,Corymbia citriodora,corymbia citriodora || corymbia torelliana,Corymbia,True,seed number per fruit,36.9,6.6,19.5,5.0,True,0.4715447154471545,0.24242424242424243,0.22912047302291205,60.0,24.0,3.0,3.0,True,False,0.3979400086720377,0.3979400086720377,True,True,0.032316,True,False,True
Costaceae,Costus,Costus allenii,Costus guanaiensis,costus allenii || costus guanaiensis,,False,seed number per fruit,50.4,109.8,26.6,35.3,True,0.4722222222222222,0.6785063752276868,-0.20628415300546454,,,4.0,4.0,False,False,,,False,False,,False,False,False
Costaceae,Costus,Costus allenii,Costus laevis,costus allenii || costus laevis,,False,seed number per fruit,50.4,53.4,2.9,0.8,True,0.9424603174603174,0.9850187265917603,-0.04255840913144282,,,4.0,4.0,False,False,,,False,False,,False,False,False
Costaceae,Costus,Costus allenii,Costus villosissimus,costus allenii || costus villosissimus,,False,seed number per fruit,29.6,30.6,22.7,21.8,True,0.23310810810810811,0.2875816993464052,-0.05447359123829709,,,4.0,4.0,False,False,,,False,False,,False,False,False
Costaceae,Costus,Costus bracteatus,Costus lasius,costus bracteatus || costus lasius,Costus01,True,seed number per fruit,22.7,8.2,1.41,2.2,True,0.9378854625550661,0.7317073170731707,0.2061781454818954,,,4.0,4.0,False,False,,,False,True,0.008012,False,False,False
Costaceae,Costus,Costus elegans,Costus pulverulentus,costus elegans || costus pulverulentus,,False,seed number per fruit,32.3,27.2,3.9,6.0,True,0.8792569659442724,0.7794117647058824,0.09984520123839002,,23.9,4.0,3.0,False,False,,,False,False,,False,False,False
Costaceae,Costus,Costus guanaiensis,Costus villosissimus,costus guanaiensis || costus villosissimus,Costus02,True,seed number per fruit,73.2,57.2,43.4,41.4,True,0.40710382513661203,0.27622377622377625,0.13088004891283578,,,4.0,4.0,False,False,,,False,True,0.004,False,False,False
Costaceae,Costus,Costus guanaiensis,Costus laevis,costus guanaiensis || costus laevis,,False,seed number per fruit,109.8,53.4,55.3,2.4,True,0.4963570127504554,0.9550561797752809,-0.4586991670248255,,,4.0,4.0,False,False,,,False,False,,False,False,False
Costaceae,Costus,Costus laevis,Costus elegans,costus elegans || costus laevis,,False,seed number per fruit,80.2,32.3,4.7,9.5,True,0.9413965087281796,0.7058823529411764,0.2355141557870032,,,4.0,4.0,False,False,,,False,False,,False,False,False
Costaceae,Costus,Costus pulverulentus,Costus scaber,costus pulverulentus || costus scaber,,False,seed set,19.79,7.02,0.49,1.45,True,0.9752400202122284,0.7934472934472935,0.18179272676493496,23.9,10.7,3.0,3.0,True,False,0.349014123262928,0.349014123262928,True,False,,True,False,False
Costaceae,Costus,Costus scaber,Costus woodsonii,costus scaber || costus woodsonii,Costus03,True,seed number per fruit,6.1,8.8,6.5,2.1,True,-0.06557377049180335,0.7613636363636364,-0.8269374068554397,10.7,25.4,3.0,1.0,True,False,-0.37544993893472833,0.37544993893472833,True,True,0.004,True,False,True
Gesneriaceae,Cyrtandra,Cyrtandra kauaiensis,Cyrtandra longifolia,cyrtandra kauaiensis || cyrtandra longifolia,Cyrtandra,True,fruit set,56.0,32.2,48.7,20.8,True,0.13035714285714284,0.35403726708074534,-0.2236801242236025,2000.0,260.0,3.0,3.0,True,False,0.8860566476931635,0.8860566476931635,True,True,0.035383,True,False,True
Gesneriaceae,Cyrtandra,Cyrtandra paludosa,Cyrtandra platyphylla,cyrtandra paludosa || cyrtandra platyphylla,,False,fruit set,47.3,15.6,39.7,22.3,True,0.16067653276955596,-0.4294871794871795,0.5901637122567355,750.0,1700.0,3.0,3.0,True,False,-0.355387657986574,0.355387657986574,True,False,,True,False,False
Orchidaceae,Dactylorhiza,Dactylorhiza maculata,Dactylorhiza incarnata,dactylorhiza incarnata || dactylorhiza maculata,Dactylorhiza,True,seed set,58.31,49.42,43.44,35.23,True,0.2550162922311783,0.28713071630918663,-0.03211442407800835,2605.178,7756.0,1.0,1.0,True,True,-0.47380039838464105,0.47380039838464105,True,True,0.009175,True,True,True
